model,dataset,budget,feature,nResolved,meanResolved,medianResolved,stdResolved,q25Resolved,q75Resolved,nEscalated,meanEscalated,medianEscalated,stdEscalated,q25Escalated,q75Escalated,mannWhitneyU,mannWhitneyP,rankBiserialEffectSize
llama3.1_8b,aegis,124,finalEntropy,149,0.04408114370740046,0.0,0.057366244186652385,0.0,0.08473127509451281,127,0.4016882853993947,0.40977637753840185,0.15501266073435724,0.2570849747792978,0.5170436588340425,105.0,1.3645911753788212e-46,0.9889023939121704
llama3.1_8b,aegis,124,numberOfEliminations,199,1.4974874371859297,1.0,0.5012547071170855,1.0,2.0,193,0.7357512953367875,1.0,0.7889976369781899,0.0,1.0,29277.5,7.241925655616248e-22,-0.5245918712734658
llama3.1_8b,aegis,124,numberOfSurvivingCandidates,199,1.0,1.0,0.0,1.0,1.0,193,2.1295336787564767,2.0,0.900698970565962,1.0,3.0,6666.5,3.223248368845132e-42,0.6528497409326425
qwen2.5_7b,hatemoderate,75,finalConfidence,184,1.0,1.0,0.0,1.0,1.0,0,,,,,,,,
qwen2.5_7b,hatemoderate,75,totalPulls,250,88.5,72.0,43.27517722500304,72.0,72.0,150,214.72,225.0,44.05565729389717,222.0,225.0,2040.0,8.166913155809603e-61,0.8912
qwen2.5_7b,hatemoderate,75,eliminationRound,250,24.0,24.0,0.0,24.0,24.0,144,24.98611111111111,25.0,0.3919845706809181,25.0,25.0,1500.0,7.363782841899822e-76,0.9166666666666666
qwen2.5_7b,hatemoderate,75,finalVoteMargin,184,1.0,1.0,0.0,1.0,1.0,110,0.4301258741258742,0.33999999999999997,0.3626705129355898,0.08,0.84,19780.0,1.684033386492839e-57,-0.9545454545454546
qwen2.5_7b,hatemoderate,75,finalEntropy,184,0.0,0.0,0.0,-0.0,0.0,94,0.3920018268458701,0.37834747699658194,0.2588746628331397,0.21129256427661014,0.5211468113004681,460.0,8.256016139344418e-55,0.9468085106382979
qwen2.5_7b,hatemoderate,75,numberOfEliminations,250,1.0,1.0,0.0,1.0,1.0,144,0.1527777777777778,0.0,0.36102891898278777,0.0,0.0,33250.0,1.6177586248053306e-68,-0.8472222222222223
qwen2.5_7b,hatemoderate,75,numberOfSurvivingCandidates,250,1.0,1.0,0.0,1.0,1.0,144,2.763888888888889,3.0,0.5911481197264349,3.0,3.0,1500.0,7.363782841899822e-76,0.9166666666666666
qwen2.5_7b,hatemoderate,100,finalConfidence,208,0.9950444713012097,1.0,0.016688436511439753,1.0,1.0,0,,,,,,,,
qwen2.5_7b,hatemoderate,100,totalPulls,284,90.27464788732394,72.0,52.177346988370694,72.0,73.0,116,259.0603448275862,283.0,71.95509333793797,244.0,300.0,2773.5,1.072307180582727e-45,0.8316233608547838
qwen2.5_7b,hatemoderate,100,eliminationRound,284,25.077464788732396,24.0,2.5555978705163276,24.0,24.0,109,32.596330275229356,34.0,3.6109895690358944,34.0,34.0,2649.5,6.333439672164623e-47,0.8288215531722445
qwen2.5_7b,hatemoderate,100,finalVoteMargin,208,0.9945493863613356,1.0,0.01790779679567561,1.0,1.0,85,0.3216313093000965,0.21212121212121213,0.29460167851988306,0.053475935828877,0.5588235294117647,17663.0,9.376744941048076e-55,-0.9980769230769231
qwen2.5_7b,hatemoderate,100,finalEntropy,208,0.009022016045823715,0.0,0.03301129739419217,-0.0,0.0,73,0.44524408077427235,0.44161770715220877,0.1989788295045811,0.3261813613791284,0.5208406966066856,40.5,3.336019975057022e-51,0.9946654373024236
qwen2.5_7b,hatemoderate,100,numberOfEliminations,284,1.1725352112676057,1.0,0.3785119397171452,1.0,1.0,109,0.5412844036697247,0.0,0.7009531882153879,0.0,1.0,23705.0,2.987354536634745e-23,-0.5315286212688979
qwen2.5_7b,hatemoderate,100,numberOfSurvivingCandidates,284,1.0,1.0,0.0,1.0,1.0,109,2.330275229357798,3.0,0.8504361176561512,2.0,3.0,3834.0,6.058747991339011e-60,0.7522935779816513
qwen2.5_7b,hatemoderate,124,finalConfidence,219,0.9886160229723187,1.0,0.02867579749099416,1.0,1.0,0,,,,,,,,
